"id","workType","workScope","unit","suggestedRate","minRate","maxRate","sampleCount","description"
"ws_aluminium_partition_sqft","Partition and Glass","Aluminium partition","sqft","350","350","350","1","as/design"
"ws_flush_door_pcs","Partition and Glass","Flush door with laminate finish","pcs","11750","8500","25000","4","40 mm thick both side laminate with required fittings like - tower bolt stopper and stopper with saal wood choukhat"
"ws_frosted_film_on_glass_partiton_4_feet_high_sqft","Partition and Glass","frosted film on glass partiton ( 4 feet high )","sqft","40","40","40","2","as/design"
"ws_glass_door_pcs","Partition and Glass","Toughened glass door","pcs","20500","20000","21000","4","Make- gold plus,modi same as other"
"ws_glass_film_sqft","Partition and Glass","Glass film","sqft","50","50","50","2","(MAIN DOOR + MD CABINS PARTITION)"
"ws_glass_partition_lumpsum","Partition and Glass","Toughened glass partition","lumpsum","20000","20000","20000","1","as/discussed"
"ws_glass_partition_pcs","Partition and Glass","Toughened glass partition","pcs","450","450","450","1","as/design"
"ws_glass_partition_sqft","Partition and Glass","Toughened glass partition","sqft","525","400","650","4","12mm thick toughened Glass partition with Required Fittings (Make - saint Gobain,Modi same as other) note - existing front glass will remain same"
"ws_gypsum_partition_sqft","Partition and Glass","Gypsum partition","sqft","120","95","140","5","providing and fixing of gypsum partition (50mm x 50 mm GI section with both side 12mm gypsum board with joint plaster)"
"ws_toilet_fixtures_pcs","Toilet and Wet Areas","Toilet fixtures set","pcs","52500","45000","60000","4","1. Wall mounted WC (jaquar) with cistern + flush plate (GROHE GD- 2) 2. Table top basin with diverter (MAKE - JAQUAR / SOMAY/HINDWARE 3. wall mirror with light 4. Vanity with granite top with below storage 5. health Faucet 6. toilet paper Holder (Stainless steel heavy duty)"
"ws_toilet_plumbing_pcs","Toilet and Wet Areas","Bathroom PVC plumbing installation","pcs","27500","25000","30000","4","providing fitting and fixing of new pvc pipeline fittings for bathroom fixtures with required items. MAKE - Prince/ Prakash/Finolex same as other"
"ws_toilet_tiles_pcs","Toilet and Wet Areas","Toilet floor and wall tiles","pcs","135","120","150","4","Providing Fixing of (2'x2', 12""x18"", 12""x12"" ) vitrified Tile with labour and required fixing material. (Make - Somani,Kajaria,vamoura,same as other brand)"
"ws_baffle_ceiling_pcs","Suspended Ceiling","Baffle ceiling","pcs","450","450","450","1","as/required"
"ws_grid_ceiling_pcs","Suspended Ceiling","Grid ceiling","pcs","150","150","150","1","as/design"
"ws_grid_ceiling_sqft","Suspended Ceiling","Grid ceiling","sqft","90","90","90","1","as/design"
"ws_gypsum_ceiling_pcs","Suspended Ceiling","Gypsum ceiling","pcs","120","120","120","1","as/design"
"ws_gypsum_ceiling_sqft","Suspended Ceiling","Gypsum ceiling","sqft","110","90","125","5","providing and fixing of Gypsum Board ceiling with required ISI GI channel cevered with 12mm thick gypsum board with required fittings. Make - Gyprock"
"ws_paint_complete_pcs","Suspended Ceiling","Paint work for walls, partitions and ceiling","pcs","32.5","25","40","2","as/required"
"ws_pop_ceiling_sqft","Suspended Ceiling","POP ceiling","sqft","120","120","120","2","COVE will be measure extra in running feet with the same rate of 120 per running feet."
"ws_rafter_ceiling_in_reception_area_sqft","Suspended Ceiling","Rafter ceiling in reception area","sqft","450","450","450","2","as/design"
"ws_electrical_complete_lumpsum","Electrical Works","Electrical works for complete area","lumpsum","55000","55000","55000","2","providing fitting and Fixing of False ceiling's wiring,pvc conduiting, switch Board, ceiling panel for grid ceiling, MCB, Distribution Board, (Excluding items from our scope - Fan, Geyser,R.O.,chandelier, earthing's wiring ) Make - polycab for wiring + Anchor Penta for switches and board + Crompton/philips For concealed Ceiling Light ."
"ws_electrical_complete_pcs","Electrical Works","Electrical works for complete area","pcs","15000","15000","15000","1","wiring, hanging light and other required works"
"ws_electrical_complete_sqft","Electrical Works","Electrical works for complete area","sqft","235","200","250","5","providing fitting and Fixing of False ceiling's wiring,pvc conduiting, switch Board, LED Strips for cove and recessed light for false ceiling, MCB, Distribution Board, 2 - 3 electrical point on work + 4 electrical points in cabin + COVE LIGHT , Cove Strip, Profile Light, Hanging Light other required work (Excluding items from our scope - Fan, Geyser,R.O.,chandelier, earthing's wiring ) Make - polycab/Havells for wiring + GM/L&T/ for switches + Syska/Crompton/ Philips For Resecced Ceiling Light ."
"ws_electrical_work_for_hanging_lights_and_other_lumpsum","Electrical Works","ELECTRICAL WORK FOR HANGING LIGHTS AND OTHER","lumpsum","20000","20000","20000","1","as/required"
"ws_paint_complete_lumpsum","Paint Works","Paint work for walls, partitions and ceiling","lumpsum","45000","45000","45000","1","MAKE - premium emulsion"
"ws_paint_complete_sqft","Paint Works","Paint work for walls, partitions and ceiling","sqft","28","22","30","5","MAKE - Asian Plastic Paint/Burger (plastic paint)"
"ws_0ver_head_storage_above_the_pantry_s_slab_sqft","Furniture","0ver head storage above the pantry's slab","sqft","1000","1000","1000","3","Made of 19mm thick ply/blockboard/HDHMR with laminate finish bith side with required fittings (SIZE - 6' wide x 3' high x 1' Depth)"
"ws_2_sofa_seat_for_informal_area_pcs","Furniture","2 sofa seat for informal area","pcs","9000","8000","10000","4","as/3d design"
"ws_bean_bag_pcs","Furniture","BEAN BAG","pcs","10000","10000","10000","1","as/design"
"ws_below_storage_sqft","Furniture","Wooden storage below counter","sqft","1000","1000","1000","8","Made of 19mm thick ply/blockboard/HDHMR with laminate finish bith side with required fittings (SIZE - 6' wide x 3' high x 2' Depth)"
"ws_book_shelf_3_x_8_pcs","Furniture","BOOK SHELF (3' X 8' )","pcs","20000","20000","20000","1","as/design"
"ws_boss_chair_pcs","Furniture","Boss chair","pcs","12000","12000","12000","2","Size - 450mm x 450 mm (as/design)"
"ws_cabin_chair_pcs","Furniture","Cabin / director chair","pcs","7500","7500","10000","16","up to 10000/- per seat"
"ws_cabin_s_table_with_laminate_finish_top_size_6_wi_pcs","Furniture","cabin's table with laminate finish top (size - 6' wide x 3' depth )","pcs","22500","22500","22500","2","made of 19mm thick commerical plywood with laminate finish top."
"ws_cabin_s_table_with_laminate_finish_top_size_7_wi_pcs","Furniture","cabin's table with laminate finish top (size - 7' wide x 3' depth )","pcs","25000","25000","25000","2","made of 19mm thick commerical plywood with laminate finish top."
"ws_cabin_s_table_with_laminate_finish_top_pcs","Furniture","cabin's table with laminate finish top","pcs","32250","22500","42000","4","made of powder coated MS frame(internal) with 50mm thick PLPB laminted top"
"ws_centre_table_pcs","Furniture","Centre table","pcs","10000","10000","10000","2","Size - 600mm x 600 mm (as/design)"
"ws_circular_hexagonal_couch_pcs","Furniture","CIRCULAR/HEXAGONAL COUCH","pcs","10000","10000","10000","1","as/design"
"ws_coffee_table_pcs","Furniture","Coffee table","pcs","7500","7500","8000","10","AS/DESIGN"
"ws_dice_s_couch_pcs","Furniture","DICE'S COUCH","pcs","10000","10000","10000","1","as/design"
"ws_director_table_pcs","Furniture","Director / MD table","pcs","42000","25000","55000","6","made of powder coated MS frame(internal) with wooden laminted top with laquered glass"
"ws_executive_chair_pcs","Furniture","Executive chair","pcs","7500","7500","7500","2","Size - 600mm x 600 mm (as/design)"
"ws_glass_door_rft","Furniture","Toughened glass door","rft","300","300","300","2","2"" wide wooden panelling with laminate finish"
"ws_granite_top_sqft","Furniture","Granite counter top","sqft","300","300","300","9","19mm thick granite top (single takkar)with required fixing labour and material. Granite base rate - 150/- sq ft"
"ws_low_height_division_storage_5_feet_wide_x_4_feet_pcs","Furniture","low height division storage (5 feet wide x 4 feet high x 1 feet deep)","pcs","15000","15000","15000","2","structure made of MS and box made of wooden. As/design"
"ws_low_height_division_storage_pcs","Furniture","low height division storage","pcs","12000","12000","12000","2","structure made of MS and box made of wooden. As/design"
"ws_low_height_storage_size_3_wide_x_2_5_high_x_18_d_pcs","Furniture","Low height storage (size - 3' wide x 2.5' high x 18"" deep )","pcs","7500","7500","7500","4","made of 19mm thick commerical plywood with laminate finish with two drawer + one shutter below"
"ws_low_height_storage_size_4_wide_x_2_5_high_x_18_d_pcs","Furniture","Low height storage (size - 4' wide x 2.5' high x 18"" deep )","pcs","10000","10000","10000","2","made of 19mm thick commerical plywood with laminate finish with two drawer + one shutter below"
"ws_low_height_storage_pcs","Furniture","Low height storage","pcs","7500","7500","10000","6","made of 19mm thick commerical plywood with laminate finish with two drawer + one shutter below"
"ws_meeting_chair_pcs","Furniture","Meeting chair","pcs","5000","5000","5000","4","up to 5000/- per seat"
"ws_meeting_table_pcs","Furniture","Meeting table","pcs","27000","24000","30000","4","made of powder coated MS frame(base structure) with PLPB (prelaminated particle board) finish with laminate(as/selection)."
"ws_office_chair_pcs","Furniture","Office / workstation chair","pcs","4500","3200","4500","9","up to 4500/- per seat (mesh Design)"
"ws_overhead_storage_sqft","Furniture","Overhead storage","sqft","1000","1000","1000","2","Made of 19mm thick ply/blockboard/ with laminate finish both side with required fittings (SIZE - 5' wide x 3' high x 1' Depth)"
"ws_pantry_s_stools_pcs","Furniture","pantry's stools","pcs","3000","3000","3000","2","up to 3000/-per pcs"
"ws_pantry_wall_tile_sqft","Furniture","Pantry wall tiles","sqft","150","120","150","8","Providing Fixing of (2'x2', 12""x18"", 12""x12"" ) vitrified Tile with labour and required fixing material. (Make - Somani,Kajaria,vamoura,Gujrati same as other brand)"
"ws_reception_chair_pcs","Furniture","Reception chair","pcs","6000","5000","7500","6","as/selection"
"ws_reception_counter_pcs","Furniture","Reception counter / table","pcs","35000","25000","37500","6","Made of 19mm thick ply/blockboard/HDHMR with laminate finish bith side with required fittings ( SIZE - 8' wide x 4' high x 3' Depth )"
"ws_side_table_pcs","Furniture","Side table","pcs","27500","7500","27500","6","made of powder coated MS frame(internal) with wooden laminted top with laquered glass"
"ws_sink_mixer_lumpsum","Furniture","Sink, mixer and plumbing","lumpsum","12000","12000","20000","9","sink cost - up to 5000/- wall mixture - up to 3000/-"
"ws_sofa_for_reception_and_lounge_area_seat","Furniture","SOFA (FOR RECEPTION AND LOUNGE AREA)","seat","15000","15000","15000","1","as/design"
"ws_table_game_4_in_one_lumpsum","Furniture","TABLE GAME (4 IN ONE )","lumpsum","65000","65000","65000","1","SIZE - 54INCH X 24 INCH X 32 INCH HIGH BILLIARD , TABLE TENNIS , HOCKEY , FOOSBALL"
"ws_trap_door_pcs","Furniture","Trap door for AHU","pcs","6000","6000","6000","2",""
"ws_visitor_chair_pcs","Furniture","Visitor chair","pcs","4500","4000","4500","16","up to 4500/- per seat"
"ws_waiting_sofa_pcs","Furniture","Waiting / lounge sofa","pcs","10000","8000","70000","17","as/design Selection"
"ws_waiting_sofa_seat","Furniture","Waiting / lounge sofa","seat","9000","8000","10000","8","AS/3D DESIGN"
"ws_waiting_sofa_sqft","Furniture","Waiting / lounge sofa","sqft","9000","8000","10000","4","as/design"
"ws_wall_display_storage_8_feet_high_x_8_feet_wide_sqft","Furniture","Wall Display Storage (8 feet high x 8 feet wide)","sqft","1000","1000","1000","2","made of MS pipe with wooden planter as/design"
"ws_wall_storage_sqft","Furniture","Wall storage","sqft","1000","800","1000","8","as/design"
"ws_workstation_pcs","Furniture","Workstation","pcs","7000","6000","7500","9","made of powder coated MS frame structure (internal) with 25mm thick PLPB laminate finish (as/selection)"
"ws_ahu_supply","HVAC","AHU supply and installation","",,,,"4",""
"ws_ahu_supply_lumpsum","HVAC","AHU supply and installation","lumpsum","150000","150000","150000","1","Make - Carrier/Zyco/Waves"
"ws_ahu_supply_sqft","HVAC","AHU supply and installation","sqft","325","325","325","4",""
"ws_butterfly_valve_pcs","Fire Fighting","Cast iron butterfly valve","pcs","3725","3725","3725","4",""
"ws_downward_sprinkler_pcs","Fire Fighting","Ceiling downward flexible sprinkler","pcs","2695","2000","2695","5","Make - TYKO"
"ws_fire_detector_pcs","Fire Fighting","Fire detector with alarm panel","pcs","1500","1500","1500","1","Make - AGNI or same as other"
"ws_fire_extinguisher_5","Fire Fighting","Fire extinguisher","5","57500","57500","57500","4","Each"
"ws_fire_extinguisher_pcs","Fire Fighting","Fire extinguisher","pcs",,,,"8","EACH"
"ws_ms_pipe_mtr","Fire Fighting","MS heavy grade fire pipe","mtr","825","525","1315","12",""
"ws_ms_pipe_pcs","Fire Fighting","MS heavy grade fire pipe","pcs","15625","15625","15625","4","Each"
"ws_p_f_terraces_pump_panel_16_gauge_complete_in_all_pcs","Fire Fighting","P/F Terraces Pump Panel 16 Gauge Complete in all respect.","pcs",,,,"4","SET."
"ws_providing_and_fixing_inspectors_test_assembly_co_pcs","Fire Fighting","Providing and fixing inspectors test assembly complete with test valve, sight gl","pcs","15625","15625","15625","4",""
"ws_providing_fixing_double_flanged_flexicon_expansi_pcs","Fire Fighting","Providing & fixing double flanged flexicon expansion joint with unit control of","pcs","15625","15625","15625","4",""
"ws_providing_fixing_nipple_down_complete_in_all_res_pcs","Fire Fighting","Providing & Fixing Nipple Down Complete in all respect.","pcs","15625","15625","15625","4",""
"ws_providing_fixing_of_installation_control_valve_w_pcs","Fire Fighting","Providing & Fixing of installation control valve with turbine type automatic Ala","pcs","15625","15625","15625","4",""
"ws_providing_laying_testing_and_commissioning_of_ms_pcs","Fire Fighting","Providing, laying, testing and commissioning of MS heavy Grade ERW pipes for und","pcs",,,,"4",""
"ws_providing_testing_and_commissioning_of_the_insta_pcs","Fire Fighting","Providing testing and commissioning of the installation control valve including","pcs","15625","15625","15625","4",""
"ws_supply_erection_testing_commissioniing_of_firema_pcs","Fire Fighting","Supply, Erection, Testing & commissioniing of firemans axe with heavy rubber han","pcs","15625","15625","15625","4","Each"
"ws_upside_sprinkler_pcs","Fire Fighting","Upright sprinkler","pcs","700","550","700","5","Make - TYKO"
"ws_fire_extinguisher_pcs","Alarm System","Fire extinguisher","pcs","2500","2500","2500","4",""
"ws_ms_pipe_pcs","Alarm System","MS heavy grade fire pipe","pcs","1050","1050","1050","4",""
"ws_p_f_heat_detectors_with_base_complete_in_all_res_pcs","Alarm System","P/F Heat Detectors with base Complete in all respect.","pcs","1995","1995","1995","4",""
"ws_p_f_smoke_detectors_with_base_complete_in_all_re_pcs","Alarm System","P/F Smoke Detectors with base Complete in all respect.","pcs","2200","2200","2200","4",""
"ws_providing_fixing_of_dual_tone_electric_fire_hoot_pcs","Alarm System","Providing & fixing of DUAL / tone electric fire hooter suitable for wall mountin","pcs","1050","1050","1050","4",""
"ws_supplying_and_drawing_of_pvc_insulated_copper_co_mtr","Alarm System","Supplying and drawing of PVC insulated Copper conductor 2C 1.5 sq. mm including","mtr","160","160","160","4",""
"ws_aluminium_window_sqft","Doors and Windows","Aluminium window with glass","sqft","475","475","475","1","with frame and glass"
"ws_director_table_sqft","Wall Finishes","Director / MD table","sqft","200","200","200","2","(as/design)"
"ws_wall_cladding_pcs","Wall Finishes","WPC / charcoal wall cladding","pcs","150","150","150","1","as/required"
"ws_wallpaper_sqft","Wall Finishes","Wallpaper","sqft","140","130","150","3","as/design (BEHIND THE SOFA SET)"
"ws_wooden_panelling_rft","Wall Finishes","Wooden panelling","rft","450","450","450","2","_"
"ws_glass_film_pcs","Window Treatments","Glass film","pcs","35","35","35","1","as/required"
"ws_window_blinds_pcs","Window Treatments","Window / roller blinds","pcs","140","140","140","1","as/required"
"ws_window_blinds_sqft","Window Treatments","Window / roller blinds","sqft","150","150","150","4","Make -winfab, vista, hightech ,same as other"
"ws_biometric_punching_machine_with_fittings","System Integration","Biometric punching machine with Fittings","",,,,"2","500 person capacity"
"ws_cctv_fittings_with_6_camera_excluding_tft_screen_lumpsum","System Integration","CCTV fittings with 6 camera excluding TFT Screen","lumpsum","200000","200000","200000","2","providing fitting and fixing of 6 CCTV camara with required DVR Box ,wiring, Night vision Camara. Without lcd Screen MAKE - CP plus"
"ws_hdmi_cabling_for_3_director_cabin","System Integration","HDMI cabling for 3 Director Cabin","",,,,"2","for LCD screen"
"ws_kat_6_wiring_for_networking","System Integration","KAT 6 wiring for Networking","",,,,"2","For work station + cabins + other"
"ws_wooden_stand_for_chess_board_and_ludo_pcs","Miscellaneous","WOODEN STAND FOR CHESS BOARD AND LUDO","pcs","5000","5000","5000","1","as/design"
